,City,Country,Date,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
358,ridgecrest,US,1555951651.0,20.0,19.0,35.62,-117.67,72.0,23.04
359,broken hill,AU,1555948800.0,40.0,44.0,-31.97,141.45,60.8,12.75
360,eravur,LK,1555951765.0,46.0,77.0,7.77,81.61,84.26,3.96
361,saldanha,PT,1555951766.0,99.0,62.0,41.42,-6.55,57.8,10.98
362,skelleftea,SE,1555951703.0,0.0,66.0,64.75,20.95,55.99,10.29
363,jiwani,PK,1555951767.0,0.0,80.0,25.05,61.74,80.3,11.72
364,chuy,UY,1555951767.0,99.0,63.0,-33.69,-53.46,61.4,12.01
365,maniitsoq,GL,1555951771.0,98.0,79.0,65.42,-52.9,31.16,8.9
366,lixourion,GR,1555951577.0,75.0,72.0,38.2,20.43,60.8,18.34
368,brighton,GB,1555951646.0,0.0,35.0,50.82,-0.14,75.0,6.93
369,tolaga bay,NZ,1555951773.0,100.0,98.0,-38.37,178.3,57.08,1.36
370,vostok,RU,1555951774.0,84.0,35.0,46.45,135.83,37.28,5.82
371,banda aceh,ID,1555951774.0,78.0,74.0,5.56,95.32,85.88,7.87
372,saint-augustin,FR,1555951688.0,0.0,45.0,44.83,-0.61,69.8,14.99
